id,relation,source,target
4496,r_cname,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a
4499,r_dns_a,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4504,r_dns_a,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4506,r_cert,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176
4507,r_dns_a,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,IP_9a8368b0eadb33ab93a1febb8af6ccaa1db295282a5fad619de9f9ae8ca219e9
4508,r_subdomain,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_01c3543672af6b0070ead622b73d93619da9a124441a69c287ed0fcc941d62d7
4576,r_cidr,IP_dcf3630d109e25e31f4ec590e83509d90a95874ed53e32914e0eb2f4b56e6639,IP_CIDR_0cc13533555fca02af760d936041071becbb969c94280dd5f3f33f36c2dabfe9
4586,r_dns_a,Domain_0316d820556f89b3798d4c439e477e32a8714c91ca5363d9797c84a702ca1bb8,IP_dcf3630d109e25e31f4ec590e83509d90a95874ed53e32914e0eb2f4b56e6639
4588,r_dns_a,Domain_006de3fc33e294584cfd43e82243cf3d34eadf9b88fd3c0e5b123f1d74cbd27e,IP_dcf3630d109e25e31f4ec590e83509d90a95874ed53e32914e0eb2f4b56e6639
4624,r_cidr,IP_2493d10250d8cfb277bb6217bd48e2863d4a1bf81fb6cc9e755f63a88a349f32,IP_CIDR_f82ea9c80e4f0afcbebe3bbda6f3e1aec1b8402b331942a06fc0eea2fd82209b
4634,r_dns_a,Domain_0316d820556f89b3798d4c439e477e32a8714c91ca5363d9797c84a702ca1bb8,IP_2493d10250d8cfb277bb6217bd48e2863d4a1bf81fb6cc9e755f63a88a349f32
4636,r_dns_a,Domain_006de3fc33e294584cfd43e82243cf3d34eadf9b88fd3c0e5b123f1d74cbd27e,IP_2493d10250d8cfb277bb6217bd48e2863d4a1bf81fb6cc9e755f63a88a349f32
4672,r_cidr,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c,IP_CIDR_421753e1f9d50442ad058315e2ab1ba76104ebc39764039f788257df5dc643d4
4673,r_dns_a,Domain_a45498cc65547bc816a3c83255c02b160d14e4125b039a151d034ea5e8316c90,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4674,r_dns_a,Domain_037e26b9416b7ad0c0992bb62dd857011760ad59e39e70810e2f7de249cc3061,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4675,r_dns_a,Domain_677def7b2648c461f1999e3df64aa3dc5785b6aecf695099494523b97521da7b,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4676,r_dns_a,Domain_b89ca040ed48625c8d66258bb3a15c75e5b149696edf2c2e992a4b5f926dd041,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4677,r_dns_a,Domain_f6cd8e5757e24624e632006992fe4766fc1888f957d071143fbcc1df988537c4,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4678,r_dns_a,Domain_16023ca575a5928cae1bedd9cc05931b6ee0b16b89b7d73b92a77edf9ba3504a,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4679,r_dns_a,Domain_8ae385b7dc3870bbb76e4bd5999d2a6e405d4204764735661c745ef66b52589f,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4680,r_dns_a,Domain_0452dfc35498e6681d9eac1ad5ac999a65c0dd4968dfe9cf240896220338dd40,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4681,r_dns_a,Domain_9bc5189957bd5ef0c0f0c78379eb7c48f51986933e8279dc7203294541ce1a2c,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4682,r_dns_a,Domain_0316d820556f89b3798d4c439e477e32a8714c91ca5363d9797c84a702ca1bb8,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4683,r_dns_a,Domain_7a8837dcf8280c4829c32e62d4d46e24555eb487d1a6955c68363459861d4b81,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4684,r_dns_a,Domain_006de3fc33e294584cfd43e82243cf3d34eadf9b88fd3c0e5b123f1d74cbd27e,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4685,r_dns_a,Domain_8c27567ab453bd078306c765aae3983dfdfd1fc5739fcdb7ab0200e0d063b695,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4686,r_dns_a,Domain_78fbdf3b2080766aca017c8c63e1784f5768a85bba92729921c41699c3e1257a,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4687,r_dns_a,Domain_9822654656d0d4a56b718944a75b25906f026dcf249098cba416d12097376f0e,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4688,r_dns_a,Domain_974f35a551eee9c2493751dbbcacbacce3b47ffe4fe89894917ec903751a8c94,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4689,r_dns_a,Domain_95e072274e8b95681d49d483dc073db153cc82e411f32a904c0086003b596224,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4690,r_dns_a,Domain_7ade6883d8dd55480c7bdf7fb5f7eb7ee17a1673aa34c6eb0196e9b17f3bff3f,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4691,r_dns_a,Domain_dd056c42bb08c5eab0e332b2f4e4c28def535d73d9e33385741dbdbf2d766bcd,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4692,r_dns_a,Domain_a28d6e656962a87e4b29a5d29fbac5b9eef4910d34cc095b271bd2e14de413bf,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4693,r_dns_a,Domain_05dcbd2cada6f73557cd1f746ff7523c45daea242d15eb1a52621e6f39bba10b,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4694,r_dns_a,Domain_fc33e2f86685cde06c13367d8661fad828d278c7994c3a14c36d6f1c2089a50c,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4695,r_dns_a,Domain_c5a005449bbb359c837ab2ee855ab9ef990d5116bf512c952bfded0b36f42d1b,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4696,r_dns_a,Domain_19490b592e8afb10f344a061c56e7f469233cd8220b47cacfff492d2dd4d8eec,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4697,r_dns_a,Domain_fec1e88f3d29ca44e9819d29098cb6f6fef4b63b140bffc07880375ba8265a74,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4698,r_dns_a,Domain_bf0ab67b636287cee2c8d9e74d4ee7ccf3d82fd704f909e92e105a66e3090067,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4699,r_dns_a,Domain_369fce70c41af7c0adfe674633c5b54749cae1acaa1ddbc1806df32f93f5305d,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4700,r_dns_a,Domain_1ad3b856a00faf92f3d41c2f96be9d049041297556aaa3c881d8af3b1168a215,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4701,r_dns_a,Domain_23a465f55832d1a9f65d44d5337fd5323b519e89327240e61609e6432797262e,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4702,r_dns_a,Domain_35a7c70f7617cb057a56f81583037996d8bf044777a9faf67febbf8841dc4c75,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4703,r_dns_a,Domain_3fb50e73121b91e843fb2810d29d4b3ccdb40d2dc839c120d657f7774b2e1c63,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4704,r_dns_a,Domain_3f48e79d0b6b5524cf092e6eb2e47120c40b6a24aae5c92d6f915ff26cbde838,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4705,r_dns_a,Domain_3d17cb5d2b5f6142eea8fd0b43c4b0b23155f622724e25b3a5e7bc0a2998e881,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4706,r_dns_a,Domain_23b33bd0a96ccec60a124adca665ef443e5bca779c69b6eb47380dcbac350efe,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
4707,r_dns_a,Domain_9d51a12244c5dba73379d11d3bdf3f5e4cb8356184bbdbddf7ca51af8f850af1,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
