id,relation,source,target
1017,r_whois_name,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
1073,r_whois_email,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
1129,r_whois_phone,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
1199,r_dns_a,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1201,r_cname,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10
1202,r_dns_a,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1203,r_cert,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1281,r_dns_a,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1282,r_subdomain,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Domain_110fb52a3afd8dbd4d2c36688306166f216e5a19362ae554addf7677ee568aea
1284,r_whois_name,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Whois_Name_9bf9ce0d5302876657f37557cd8beb6dde7fb29f56370227ca7452c0904328f2
1285,r_whois_email,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Whois_Email_91e0f65f5e2ade2b90edc1f31fe989f138a39f35650688c2da28ebb5ba29a7d8
1286,r_whois_phone,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Whois_Phone_3c7409957132fe5ac233d4dd715dd018be212923b746abf8a94a96eb905fb8fb
1287,r_dns_a,Domain_e5faee798ab94195e75d453c625b9778a33b5df78d7b2c28e012c689836cfe9a,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1303,r_cert,Domain_bab7738855aebe08106629db55cc37bbab6032d0c83e0b50545f7fadad00a7fb,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1374,r_cert,Domain_1af571b08126316100c5881d0b6e2dc7e349572d3dc30623d117b6ba1e604f69,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1375,r_cert,Domain_3463c4d7394dd9ed9e0bcafeaed3cf8691dc7dac01cbe3e84bba8391d93a7b38,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1580,r_dns_a,Domain_1af571b08126316100c5881d0b6e2dc7e349572d3dc30623d117b6ba1e604f69,IP_47c3c8a6d1485385acf2f2c5ab3236317630a29ba21464f69ea220f4a29cf04b
20544,r_asn,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47,ASN_1d624c9be374e9b85d0105f3fc5e474a305c294f11402195edd43d093b9d4ab9
20546,r_dns_a,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,IP_8825af1b085a177c9fbe38f62c83937cb896fd4c46cc6726fd9c641e5c0fea60
20567,r_cidr,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47,IP_CIDR_49d294fbef2603b2c82189a6f066af77385549a0c1eed46d3fa85d9ffc43b3d6
20585,r_dns_a,Domain_32ef6b395c5e272a588c5acad24eb95138902568ee9570449f10b8aa05617ded,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
20667,r_subdomain,Domain_110fb52a3afd8dbd4d2c36688306166f216e5a19362ae554addf7677ee568aea,Domain_b7af15dc2d23975636f842ca83414a36cd310512d2e59f7535291ae4c6ad2e5e
