id,relation,source,target
0,r_subdomain,Domain_34a6231f101fdfa2b051beaa4b94d463fe5f9f42b7789bbe60f6fd4c292ee7ac,Domain_5052db3f33d5337ab631025f7d5de3c5ac559edb2c40deda5530c0051f39b1e2
1,r_dns_a,Domain_34a6231f101fdfa2b051beaa4b94d463fe5f9f42b7789bbe60f6fd4c292ee7ac,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
2,r_cert,Domain_34a6231f101fdfa2b051beaa4b94d463fe5f9f42b7789bbe60f6fd4c292ee7ac,Cert_9ace6aae20e3ac6d9ebfae8938b91112460b27ad204cf11f1301f154c5d309a4
3,r_dns_a,Domain_5052db3f33d5337ab631025f7d5de3c5ac559edb2c40deda5530c0051f39b1e2,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
4,r_dns_a,Domain_32b4d5d93789d5436fe729499c7b4d311742797f406a045c55cd3f7f58c6464a,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
5,r_dns_a,Domain_70d6d09e0e5ab16df4420cd6ff62b1704e2ea516e0aaab1fd269e43a934fee74,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
6,r_dns_a,Domain_d3d0abc4c07c370e8c7413efd154a05a602e5e209ae942850345b2ac56fddbcc,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
7,r_dns_a,Domain_e970e2e4ae6537c1e115622d09bb056db4e3de916e711902ed353e7c2b5a8923,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
8,r_dns_a,Domain_2d3bbcec29453b6f56fb85ea28e8e5ea5fc5f5562e0f896b6b52b113a6cc1e44,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
9,r_dns_a,Domain_41a5458d86f6db3ceb80f9f8dde0b5a87ee44ee0aeb7edfda94a1047d80838bf,IP_37f7ed5739b43757ff23c712ae4d60d16615c59c0818bf5f2c91514c9c695845
