id,relation,source,target
1592,r_whois_phone,Domain_56a5966e54daaba0a4f143771372ef8e3b5cbde10888ec8dbe3427f123a6bab6,Whois_Phone_b7e0e24ad73b26f1341a956fc8b35b59d6c0f85c3c9541187274a4781c370720
1816,r_whois_name,Domain_0490167ce97d4605cb688a8217f2cfb4a0fd3170b79851500d13e0c3b97ad247,Whois_Name_8170a48a4ca837cbfcfe6126afa36c9ed320dd4c0d7f9af7bd8755b0d97028cd
1822,r_whois_phone,Domain_0490167ce97d4605cb688a8217f2cfb4a0fd3170b79851500d13e0c3b97ad247,Whois_Phone_d4e844046d099bbdd48536d0431618a45cde4f0c5593f027d8ceee11f8b9c211
1831,r_whois_name,Domain_e8e5059efa68b4b27419985fc41d3042697e52e3fbb8850993356e7f78c51ff8,Whois_Name_e0d8838c257b1a29fa09615086957f2aa9fef30629b8900b1bf3da61f9f5c6b8
1840,r_whois_phone,Domain_e8e5059efa68b4b27419985fc41d3042697e52e3fbb8850993356e7f78c51ff8,Whois_Phone_1952ac2442a5ab7008028ccc318cc5cfc9675b101cecf3a8f6f7e503cd061b52
1849,r_whois_phone,Domain_e8e5059efa68b4b27419985fc41d3042697e52e3fbb8850993356e7f78c51ff8,Whois_Phone_341ae9b8c87baddfce5e39d1cee049ea55983cadbbf0b9ee12bd0b9e4b6b8ead
1862,r_whois_name,Domain_12f712fbf78fde2cbb0803f114fa8f7e3898d40a1b29f939e22b02786d2c3d43,Whois_Name_fcf91736d1489741e141d1c903d266f86356ba1746d8b29cccc85442b760a434
1864,r_whois_phone,Domain_12f712fbf78fde2cbb0803f114fa8f7e3898d40a1b29f939e22b02786d2c3d43,Whois_Phone_f4a84443fb72da27731660695dd00877e8ce25b264ec418504fface62cdcbbd7
1866,r_dns_a,Domain_e084e9525e7e605e77286d5512c59c9a83ceb84b97ea1de6ad39306507e71937,IP_f78fa99ec7d4d5c30639524e3d01250d0951936fe1fbc72948cdf1b2ddfbb714
1868,r_dns_a,Domain_e084e9525e7e605e77286d5512c59c9a83ceb84b97ea1de6ad39306507e71937,IP_3b591ca25ab2ffe6978475e1d92324a5b0a5209a7bc0461df914a5b76b3ece33
